precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA AUR-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","GHEORGHE VLAD-DAN-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL PUSTINIŞ",601,UIVAR,159142,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:18:48",620,620,0,361,349,0,12,700,339,333,28,2,8,2,166,18,17,0,2,0,111,2,0,1,4,0,0
37,TIMIŞ,"CĂMINUL CULTURAL RĂDMĂNEŞTI",309,BARA,155662,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:01:32",45,45,0,66,29,0,37,100,34,60,6,0,21,0,23,1,1,1,0,0,9,1,0,2,1,0,0
37,TIMIŞ,"CĂMINUL CULTURAL RĂUŢI",602,UIVAR,159142,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:15:37",487,487,0,245,239,0,6,500,255,235,10,1,10,2,77,10,32,0,0,0,92,7,2,0,2,0,0
37,TIMIŞ,"CĂMINUL CULTURAL REMETEA MICĂ",469,MAŞLOC,157683,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:42:15",435,435,0,251,246,0,5,500,249,235,16,5,11,4,95,13,0,3,2,4,85,2,0,4,2,1,4
37,TIMIŞ,"CĂMINUL CULTURAL ROMÂNEŞTI",584,TOMEŞTI,158895,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:51:58",408,408,0,274,270,0,4,507,233,259,15,0,1,0,144,7,1,1,1,1,92,2,3,3,2,1,0
37,TIMIŞ,"CĂMINUL CULTURAL ROVINIŢA MARE",378,DENTA,156669,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:36:05",324,324,0,248,229,0,19,500,252,238,10,2,4,3,155,14,18,3,1,1,30,5,0,0,1,0,1
37,TIMIŞ,"CĂMINUL CULTURAL SĂCĂLAZ",547,SĂCĂLAZ,158564,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:06:35",1607,1607,0,941,798,0,143,1700,759,898,43,31,122,16,288,41,15,7,0,7,296,22,4,8,31,0,10
37,TIMIŞ,"CĂMINUL CULTURAL SĂCENI",596,"TRAIAN VUIA",159071,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:06:45",168,168,0,128,117,0,11,200,72,126,2,0,7,0,33,6,4,0,2,0,73,0,0,0,0,1,0
37,TIMIŞ,"CĂMINUL CULTURAL ȘAG",566,ŞAG,158779,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:12:34",1406,1406,0,818,767,0,51,1500,682,790,28,63,85,21,341,31,44,5,8,8,102,27,12,5,26,5,7
37,TIMIŞ,"CĂMINUL CULTURAL ȘAG",567,ŞAG,158779,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:11:52",1487,1487,0,1047,947,0,100,1600,553,1002,45,38,85,20,505,45,64,9,7,16,139,20,13,5,30,3,3
37,TIMIŞ,"CĂMINUL CULTURAL SĂLBĂGEL",406,GAVOJDIA,157031,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:04:42",229,229,0,167,142,0,25,300,133,158,9,1,3,1,110,10,1,0,1,0,27,0,1,1,2,0,0
37,TIMIŞ,"CĂMINUL CULTURAL SÂNANDREI",551,SÂNANDREI,158653,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:34:23",1535,1535,0,891,853,0,38,1600,709,870,21,42,171,36,245,48,26,11,5,10,180,19,18,12,39,4,4
37,TIMIŞ,"CĂMINUL CULTURAL SÂNMARTINU MAGHIAR",603,UIVAR,159142,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:23:24",234,234,0,133,124,0,9,300,167,129,4,2,6,0,65,11,15,1,0,0,25,1,0,1,1,0,1
37,TIMIŞ,"CĂMINUL CULTURAL SATUL IOSIF",457,LIEBLING,157497,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:04:49",328,328,0,174,172,0,2,400,226,171,3,2,17,3,44,6,15,2,0,0,65,3,2,4,2,2,4
37,TIMIŞ,"CĂMINUL CULTURAL SECEANI",501,ORŢIŞOARA,158010,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:58:50",495,495,0,300,278,0,22,500,200,286,14,4,30,3,122,25,7,2,0,0,56,6,17,4,9,0,1
37,TIMIŞ,"CĂMINUL CULTURAL SINTEŞTI",466,MARGINA,157585,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:07:56",421,421,0,269,257,0,12,500,231,257,12,2,9,4,142,7,0,0,1,2,75,4,2,0,5,3,1
37,TIMIŞ,"CĂMINUL CULTURAL ŞIPET",594,TORMAC,159035,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:50:57",743,743,0,399,367,0,32,801,402,375,24,5,17,2,186,75,13,2,5,0,57,4,0,2,4,1,2
37,TIMIŞ,"CĂMINUL CULTURAL ŞTIUCA",572,ŞTIUCA,158804,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:06:49",965,965,0,597,578,0,19,1000,403,558,39,2,34,5,209,36,1,2,1,1,229,6,1,10,20,1,0
37,TIMIŞ,"CĂMINUL CULTURAL SURDUCU MIC",597,"TRAIAN VUIA",159071,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:57:28",259,259,0,138,130,0,8,300,162,130,8,1,1,0,43,10,1,0,1,0,69,0,2,2,0,0,0
37,TIMIŞ,"CĂMINUL CULTURAL SUSANI",598,"TRAIAN VUIA",159071,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:51:27",303,303,0,190,165,0,25,423,233,178,12,2,9,2,70,12,2,1,1,0,47,2,26,0,4,0,0
37,TIMIŞ,"CĂMINUL CULTURAL ŞUŞTRA",591,"TOPOLOVĂŢU MARE",158966,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:46:50",340,340,0,179,164,0,15,400,221,162,17,6,22,1,50,24,4,1,4,2,29,2,3,9,2,1,2
37,TIMIŞ,"CĂMINUL CULTURAL TEMEREŞTI",267,"ORAŞ FĂGET",156801,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:27:58",416,416,0,227,218,0,9,500,273,218,9,4,5,1,133,15,3,0,1,0,39,4,8,2,3,0,0
37,TIMIŞ,"CĂMINUL CULTURAL TEŞ",343,BRESTOVĂŢ,156151,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:45:46",222,222,0,189,152,0,37,301,112,187,2,2,19,7,72,0,2,0,1,10,30,2,34,3,0,0,5
37,TIMIŞ,"CĂMINUL CULTURAL ŢIPARI",365,COŞTEIU,156473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:23:43",733,733,0,440,422,0,18,800,360,416,24,6,19,2,104,23,185,2,4,2,47,5,4,4,6,1,2
37,TIMIŞ,"CĂMINUL CULTURAL TOMEŞTI",580,TOMEŞTI,158895,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:49:50",266,266,0,207,201,0,6,300,93,200,7,3,6,5,80,5,0,0,0,0,88,4,1,3,3,0,2
37,TIMIŞ,"CĂMINUL CULTURAL TORMAC",592,TORMAC,159035,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:00:19",1402,1402,0,833,805,0,28,1402,569,757,76,8,29,5,239,88,287,1,5,5,57,8,0,7,14,3,1
37,TIMIŞ,"CĂMINUL CULTURAL TRAIAN VUIA",599,"TRAIAN VUIA",159071,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:26:09",352,352,0,228,204,0,24,400,172,220,8,2,25,1,76,29,3,1,3,0,63,1,8,2,4,0,2
37,TIMIŞ,"CĂMINUL CULTURAL UIVAR",600,UIVAR,159142,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:29:14",1183,1183,0,513,501,0,12,1200,687,510,3,7,10,1,292,25,18,1,0,2,135,2,1,4,10,1,1
37,TIMIŞ,"CĂMINUL CULTURAL VALEA LUNGĂ ROMÂNĂ",366,COŞTEIU,156473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:07:15",125,125,0,83,69,0,14,200,117,80,3,0,4,0,52,6,1,0,0,0,8,1,0,4,4,0,0
37,TIMIŞ,"CĂMINUL CULTURAL VARIAŞ",604,VARIAŞ,159213,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 20:27:39",1799,1799,0,890,868,0,22,1900,1010,854,36,15,20,21,430,67,46,2,8,1,184,18,3,7,27,1,4
37,TIMIŞ,"CĂMINUL CULTURAL V.V DELAMARINA",609,"VICTOR VLAD DELAMARINA",159259,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:39:31",376,376,0,276,263,0,13,400,124,264,12,7,21,0,163,8,5,1,1,1,38,6,3,1,5,1,3
37,TIMIŞ,"CĂMINUL CULTURAL ZGRIBEŞTI",575,ŞTIUCA,158804,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:01:44",178,178,0,119,107,0,12,200,81,116,3,3,4,1,64,6,0,0,0,1,34,0,1,1,1,0,0
37,TIMIŞ,"CASA DE CULTURĂ",281,"ORAŞ JIMBOLIA",155494,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:02:39",1250,1250,0,490,449,0,41,1400,910,462,28,8,34,10,169,34,41,5,4,2,105,7,1,7,19,1,15
37,TIMIŞ,"CASA DE CULTURĂ",512,PERIAM,158109,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:55:46",1069,1069,0,359,346,0,13,1100,741,347,12,5,27,12,180,41,5,2,3,1,47,1,4,8,7,2,2
37,TIMIŞ,"CASA DE CULTURĂ",418,GIARMATA,157246,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:55:31",1696,1696,0,872,847,0,25,1800,928,844,28,42,103,28,309,62,4,4,8,3,193,23,10,11,33,4,7
37,TIMIŞ,"CASA DE CULTURĂ",280,"ORAŞ JIMBOLIA",155494,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:01:25",1553,1553,0,591,571,0,20,1700,1109,561,30,15,40,12,214,30,48,2,2,4,130,14,5,5,13,2,25
37,TIMIŞ,"CASA DE CULTURĂ BUZAD",336,BOGDA,156035,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:39:15",167,167,0,131,110,0,21,304,173,129,2,4,6,2,85,6,0,0,1,0,21,1,0,0,1,1,1
37,TIMIŞ,"CASA DE CULTURĂ COLONIA FABRICII",582,TOMEŞTI,158895,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:44:13",627,627,0,360,349,0,11,700,340,328,32,2,12,5,185,9,10,1,1,0,64,1,30,0,2,1,5
37,TIMIŞ,"CASA DE CULTURĂ GĂTAIA",268,"ORAŞ GĂTAIA",157086,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:42:39",1341,1341,0,622,596,0,26,1600,978,593,29,8,33,4,268,26,112,2,3,5,105,9,3,2,10,1,2
37,TIMIŞ,"CASA DE CULTURĂ LOVRIN",460,LOVRIN,157530,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:29:54",1581,1581,0,629,607,0,22,1700,1071,593,30,9,35,13,352,34,9,1,3,1,100,13,5,0,10,1,7
37,TIMIŞ,"CASA NAŢIONALĂ BLAJOVA",491,NIŢCHIDORF,157923,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:12:36",94,94,0,92,72,0,20,100,8,91,1,0,7,0,71,2,0,0,0,1,1,4,0,1,4,0,0
37,TIMIŞ,"CASA NATIONALA DE CULTURA MORAVIŢA",473,MORAVIŢA,157781,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:06:19",996,996,0,508,494,0,14,1100,592,478,30,3,36,12,301,26,1,2,1,1,64,6,11,4,6,2,2
37,TIMIŞ,"CASA NAŢIONALĂ DEJAN",474,MORAVIŢA,157781,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:12:04",220,220,0,152,142,0,10,298,146,145,7,2,8,1,93,4,2,1,3,0,21,1,1,2,3,2,1
37,TIMIŞ,"CASA NATIONALA EFTA BOTOCA",449,JEBEL,157424,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:14:26",1493,1493,0,832,810,0,22,1600,768,795,37,17,37,6,408,52,4,6,2,9,183,29,6,7,24,0,5
37,TIMIŞ,"CASA NAȚIONALĂ GAIU MIC",475,MORAVIŢA,157781,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:11:43",134,134,0,87,77,0,10,200,113,81,6,0,2,1,55,2,1,0,0,1,13,3,0,2,1,0,0
37,TIMIŞ,"CASA NATIONALĂ ”NICOLAE URSU” ŞANOVIŢA",415,GHIZELA,157193,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:59:31",383,383,0,353,295,0,58,400,47,337,16,3,31,0,210,21,3,0,1,0,48,2,0,8,6,3,1
37,TIMIŞ,"CASA NAȚIONALĂ PĂDURENI",505,PĂDURENI,159446,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:31:50",1772,1772,0,1313,1230,0,83,1800,487,1241,72,17,54,23,765,86,21,3,5,1,183,17,10,13,27,2,14
37,TIMIŞ,"CENTRUL CULTURAL AL ORAȘULUI DETA",254,"ORAŞ DETA",155458,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:08:11",1099,1099,0,375,363,0,12,1200,825,366,9,7,33,13,152,17,25,3,4,3,78,15,3,3,6,3,1
37,TIMIŞ,"CENTRUL DE SOCIALIZARE ȘI PETRECERE A TIMPULUI LIBER - CLUBUL PENSIONARILOR",61,"MUNICIPIUL TIMIŞOARA",155243,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:15:35",1282,1282,0,482,438,0,44,1300,826,463,11,38,122,26,95,40,22,5,3,2,66,10,3,3,22,2,4
37,TIMIŞ,"CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ ”CONSTANTIN PUFAN”",156,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:14:47",1147,1147,0,583,509,0,74,1200,617,567,16,45,139,47,167,12,18,5,4,3,74,16,9,2,15,4,7
37,TIMIŞ,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ ”PAUL POPESCU NEVEANU”",189,"MUNICIPIUL TIMIŞOARA",155243,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:21:18",1009,1009,0,397,381,0,16,1100,703,393,4,37,91,26,94,24,13,1,3,2,68,10,6,2,10,0,6
37,TIMIŞ,"CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ ”PAUL POPESCU NEVEANU”",188,"MUNICIPIUL TIMIŞOARA",155243,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:54:44",1104,1104,0,371,337,0,34,1200,829,362,9,38,93,21,78,29,23,4,0,1,41,9,4,1,17,0,3
37,TIMIŞ,"CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ ”PAUL POPESCU NEVEANU”",187,"MUNICIPIUL TIMIŞOARA",155243,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:52:58",1072,1072,0,349,316,0,33,1100,751,337,12,28,83,17,87,13,14,2,1,2,59,7,1,7,11,2,3
37,TIMIŞ,"CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ ”PAUL POPESCU NEVEANU”",186,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:02:36",1113,1113,0,403,392,0,11,1200,797,397,6,42,121,20,77,21,11,2,1,3,62,13,4,1,16,0,3
37,TIMIŞ,"CINEMATOGRAFUL ”BELA LUGOSI”",232,"MUNICIPIUL LUGOJ",155350,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:42:57",996,996,0,388,372,0,16,1100,712,372,16,13,57,10,134,20,24,4,2,2,68,10,4,7,10,2,5
37,TIMIŞ,"CLĂDIREA COMUNEI BARA ( FOSTA SCOALĂ DOBRESTI)",307,BARA,155662,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:24:55",36,36,0,79,30,0,49,100,21,71,8,0,22,0,27,3,0,0,1,0,16,0,1,0,1,0,0
37,TIMIŞ,"CLĂDIREA COMUNEI BRESTOVĂŢ (FOSTA ŞCOALĂ GENERALĂ COŞARII)",342,BRESTOVĂŢ,156151,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:08:20",126,126,0,116,95,0,21,200,84,105,11,0,5,0,67,0,2,0,0,0,20,3,8,0,0,0,0
37,TIMIŞ,"CLĂDIREA COMUNEI GOTTLOB (SALA DE ŞEDINŢE)",440,GOTTLOB,159419,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:15:54",1811,1811,0,931,890,0,41,2000,1069,842,89,12,42,24,501,33,10,2,7,2,157,10,5,12,20,2,3
37,TIMIŞ,"CLADIREA COMUNEI JAMU MARE (FOSTA ŞCOALA LĂŢUNAŞ)",448,"JAMU MARE",157362,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:52:06",183,183,0,119,108,0,11,200,81,113,6,1,5,0,66,3,0,1,3,1,23,7,0,0,2,0,1
37,TIMIŞ,"CLĂDIREA COMUNEI MĂNĂŞTIUR (FOSTA ŞCOALĂ GENERALĂ PĂDURANI)",471,MĂNĂŞTIUR,157736,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:16:35",53,53,0,45,33,0,12,100,55,41,4,0,16,4,11,1,1,0,1,1,5,0,0,0,0,1,0
37,TIMIŞ,"CLĂDIREA COMUNEI MOȘNIȚA NOUĂ FOSTA ȘCOALĂ PRIMARĂ ALBINA",481,"MOŞNIŢA NOUĂ",157834,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:53:57",399,399,0,276,245,0,31,600,324,270,6,17,30,5,116,14,14,1,0,0,35,8,7,3,18,0,2
37,TIMIŞ,"CLADIREA COMUNEI NITCHIDORF(FOSTA SCOALA CU CLASELE I - IV)",492,NIŢCHIDORF,157923,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:28:13",160,160,0,118,99,0,19,200,82,110,8,1,3,4,70,7,1,0,0,0,12,4,1,3,2,2,0
37,TIMIŞ,"CLADIREA COMUNEI SACOSU TURCESC ( FOSTA SCOALA PRIMARA STAMORA ROMANA )",535,"SACOŞU TURCESC",158449,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:15:26",222,222,0,147,121,0,26,300,153,140,7,5,14,4,54,6,2,0,0,2,47,0,3,1,0,0,2
37,TIMIŞ,"CLADIREA COMUNEI TOPOLOVATU MARE (SEDIUL FOSTULUI CAP ICTAR - BUDINŢI)",589,"TOPOLOVĂŢU MARE",158966,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:41:07",343,343,0,220,205,0,15,400,180,215,5,8,27,2,60,22,4,0,1,5,67,5,2,3,6,1,2
37,TIMIŞ,"CLĂDIRE ADMINISTRATIVĂ",383,"DUDEŞTII VECHI",156712,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:07:48",533,533,0,255,239,0,16,700,445,232,23,5,16,3,85,22,18,0,4,0,60,5,3,2,8,1,0
37,TIMIŞ,"CLĂDIRE ADMINISTRATIVĂ FĂGET",256,"ORAŞ FĂGET",156801,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:08:55",1452,1452,0,806,790,0,16,1900,1094,773,33,19,36,20,411,42,39,4,2,1,157,12,11,1,12,3,3
37,TIMIŞ,"CLADIREA FOSTEI PRIMARII DIN CERNA",456,LIEBLING,157497,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:19:49",199,199,0,121,105,0,16,200,79,112,9,1,4,2,67,3,1,1,1,0,26,1,1,1,1,0,2
37,TIMIŞ,"CLUBUL SPORTIV ŞCOLAR NR.1",40,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:58:20",843,843,0,383,354,0,29,900,517,372,11,49,80,16,113,11,16,0,3,7,41,13,3,0,16,1,3
37,TIMIŞ,"COLEGIUL ECONOMIC ”FRANCESCO SEVERIO NITTI” TIMIȘOARA",71,"MUNICIPIUL TIMIŞOARA",155243,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:01:10",1179,1179,0,537,494,0,43,1200,663,534,3,59,160,21,127,26,26,2,3,3,64,9,8,2,13,7,4
37,TIMIŞ,"COLEGIUL ECONOMIC ”FRANCESCO SEVERIO NITTI” TIMIȘOARA",69,"MUNICIPIUL TIMIŞOARA",155243,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:30:10",1051,1051,0,396,358,0,38,1100,704,391,5,27,96,19,111,25,11,6,1,4,53,12,2,3,17,2,2
37,TIMIŞ,"COLEGIUL ECONOMIC ”FRANCESCO SEVERIO NITTI” TIMIȘOARA",72,"MUNICIPIUL TIMIŞOARA",155243,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:42:17",1169,1169,0,487,460,0,27,1200,713,479,8,46,164,24,105,19,18,4,2,4,61,5,3,4,13,3,4
37,TIMIŞ,"COLEGIUL ECONOMIC ”FRANCESCO SEVERIO NITTI” TIMIȘOARA",70,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:51:03",1074,1074,0,430,390,0,40,1100,670,424,6,27,95,13,119,26,26,2,2,2,67,14,7,1,15,2,6
37,TIMIŞ,"COLEGIUL NAŢIONAL ”IULIA HAŞDEU”",208,"MUNICIPIUL LUGOJ",155350,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:24:40",1137,1137,0,473,459,0,14,1200,727,461,12,29,96,21,143,30,9,3,0,1,94,8,8,2,12,1,4
37,TIMIŞ,"COLEGIUL NAȚIONAL PEDAGOGIC ”CARMEN SYLVA” TIMIȘOARA",3,"MUNICIPIUL TIMIŞOARA",155243,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:38:55",592,592,0,300,230,0,70,700,400,299,1,44,70,28,63,10,7,2,0,4,39,5,5,4,13,0,5
37,TIMIŞ,"COLEGIUL TEHNIC ”EMANUIL UNGUREANU” TIMIȘOARA",4,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:28:53",1406,1405,1,715,524,0,191,1500,785,705,10,79,175,85,161,15,27,3,0,4,79,20,10,2,39,1,5
37,TIMIŞ,"COLEGIUL TEHNIC ”HENRI COANDĂ” (ŞCOALA PRIMARĂ NR.11)",57,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:01:46",1903,1903,0,909,888,0,21,2000,1091,894,15,83,225,39,231,37,23,10,7,2,143,36,12,6,33,2,5
37,TIMIŞ,"COLEGIUL TEHNIC ”HENRI COANDĂ” (ŞCOALA PRIMARĂ NR.11)",56,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:23:06",1601,1601,0,716,693,0,23,1700,984,695,21,49,180,20,183,41,20,4,2,5,125,21,4,7,25,3,6
37,TIMIŞ,"COLEGIUL TEHNIC ”HENRI COANDĂ” (ŞCOALA PRIMARĂ NR.11)",55,"MUNICIPIUL TIMIŞOARA",155243,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:40:05",1712,1711,1,808,789,0,19,1800,992,778,30,80,189,25,232,26,31,3,5,0,107,27,9,6,24,4,10
37,TIMIŞ,"COLEGIUL TEHNIC ”HENRI COANDĂ” TIMIȘOARA",8,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:37:17",758,758,0,351,273,0,78,800,449,344,7,51,102,29,58,12,20,1,0,3,41,4,8,0,13,0,2
37,TIMIŞ,"COLEGIUL TEHNIC ”HENRI COANDĂ” TIMIȘOARA",9,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:11:51",1088,1088,0,510,466,0,44,1099,589,499,11,55,146,27,123,13,20,4,2,2,55,11,8,1,22,6,4
37,TIMIŞ,"COLEGIUL TEHNIC ”VALERIU BRANIŞTE”",227,"MUNICIPIUL LUGOJ",155350,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:33:12",1118,1118,0,510,477,0,33,1200,690,504,6,19,95,9,187,23,43,5,0,3,76,10,10,4,14,4,2
37,TIMIŞ,"CONSILIUL LOCAL DUDEŞTII VECHI",382,"DUDEŞTII VECHI",156712,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:32:53",1454,1454,0,879,853,0,26,1600,721,773,106,25,36,9,358,51,23,5,4,7,223,13,3,4,7,4,1
37,TIMIŞ,"DIRECȚIA DE ASISTENȚĂ SOCIALĂ A MUNICIPIULUI TIMIȘOARA, COMPLEXUL DE SERVICII SOCIALE PENTRU PERSOANE VÂRSTNICE „SF. ARH. MIHAIL ȘI GAVRIL”",179,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:57:04",1230,1230,0,548,516,0,32,1300,752,534,14,43,129,30,153,15,13,5,3,3,89,15,8,2,14,4,8
37,TIMIŞ,"DIRECȚIA DE ASISTENȚĂ SOCIALĂ A MUNICIPIULUI TIMIȘOARA, COMPLEXUL DE SERVICII SOCIALE PENTRU PERSOANE VÂRSTNICE „SF. ARH. MIHAIL ȘI GAVRIL”",180,"MUNICIPIUL TIMIŞOARA",155243,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:52:26",1151,1151,0,472,454,0,18,1200,728,465,7,43,114,20,117,11,20,6,9,4,60,19,10,5,15,3,9
37,TIMIŞ,"FOSTA ȘCOALĂ GENERALĂ JUPÂNEŞTI",265,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:09:26",150,150,0,115,110,0,5,200,85,90,25,0,2,0,75,3,1,0,1,0,4,0,1,0,2,0,1
37,TIMIŞ,"FOSTA ŞCOALĂ GIMNAZIALĂ BEGHEIU MIC",260,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:21:40",276,276,0,185,177,0,8,300,115,172,13,1,4,0,92,18,1,0,0,0,38,2,3,2,8,1,2
