precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL VERDE-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ZAINEA SERGIU-FLORIAN-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL VERTICALA NOUĂ-voturi"
26,MARAMUREŞ,"ECHIPAMENT CONTAINER MODULAR",2,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:42:05",919,908,1,10,0,435,425,0,10,0,415,20,1000,565,3,46,43,5,3,6,5,8,7,1,4,102,25,14,69,74
26,MARAMUREŞ,"GAL BAIA MARE",70,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:10:43",1300,1290,0,10,0,484,474,0,10,0,465,19,1500,1016,3,59,35,6,1,1,5,26,3,2,7,128,26,19,92,52
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 12",54,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:41:10",1602,1589,7,6,0,738,732,0,6,0,716,22,1800,1062,0,120,48,5,11,10,5,20,5,2,7,135,134,18,108,88
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „FLOARE DE COLŢ”",36,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:46:18",1304,1294,0,10,0,528,518,0,10,0,504,23,1500,973,8,91,39,9,7,16,2,16,6,3,3,108,31,16,88,61
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „MICUL PRINŢ”",25,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:41:38",1344,1333,0,11,0,516,505,0,11,0,497,19,1500,984,3,72,38,3,3,5,3,10,5,1,8,117,44,20,104,61
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 25",31,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:35:49",1162,1150,3,7,2,459,450,0,7,2,452,7,1300,841,1,70,31,4,1,6,4,11,5,1,4,142,34,12,68,58
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 25",30,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:30:50",1324,1318,1,5,0,496,491,0,5,0,475,8,1400,907,4,65,39,3,4,0,9,19,5,0,4,98,27,26,100,72
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 27",80,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:05:46",1653,1643,1,9,0,655,646,0,9,0,641,14,1900,1245,7,126,46,15,5,8,2,14,5,4,18,123,43,18,123,84
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 28",29,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:47:46",1312,1296,0,15,1,488,472,0,15,1,475,13,1400,912,3,65,42,11,8,12,3,13,7,2,9,118,38,12,75,57
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 34",35,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:19:05",1316,1299,6,11,0,559,547,1,11,0,546,13,1500,941,2,87,28,6,6,18,6,27,12,1,8,110,35,22,86,92
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 9",20,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:58:02",1423,1406,8,9,0,666,657,0,9,0,656,10,1600,934,3,112,49,2,5,15,9,5,6,3,6,138,48,35,140,80
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „OTILIA CAZIMIR”",77,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:12:57",1424,1414,4,6,0,598,592,0,6,0,580,18,1600,1002,1,86,35,8,0,12,8,13,6,1,8,145,25,24,127,81
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT „OTILIA CAZIMIR”",78,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:39:04",1250,1240,0,10,0,411,401,0,10,0,393,18,1400,988,7,37,33,4,4,8,5,16,8,1,4,94,20,16,88,48
26,MARAMUREŞ,"LICEUL CU PROGRAM SPORTIV",44,"MUNICIPIUL BAIA MARE",106318,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:54:21",1095,1085,1,9,0,432,423,0,9,0,420,3,1200,776,2,56,29,9,2,14,10,5,2,0,8,104,31,17,72,59
