precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BOGDAN IONEL-OVIDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","PAP ZSOLT-ISTVAN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PÎRVĂNOIU COSTEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DĂNCUŞ IOAN-DORU-PARTIDUL SOCIAL DEMOCRAT-voturi","CIRŢ MIRCEA-PARTIDUL VERTICALA NOUĂ-voturi","HERŢEG CĂLIN-GHEORGHE-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","HODOROGEA BOGDAN-PARTIDUL S.O.S. ROMÂNIA-voturi","CIUCĂ SEVER-IULIAN-PARTIDUL ECOLOGIST ROMÂN-voturi","CRISTIAN BRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","BARBUR FLORIN-GHEORGHE-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","FILIP CLAUDIU-GHEORGHE-PARTIDUL VERDE-voturi","POP LIVIU-MARIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ANGHEL CRISTIAN-FORȚA DREPTEI-voturi","GROZA CĂLIN-FLORIN-PARTIDUL OAMENILOR TINERI-voturi","DOLHA MIRCEA-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ZAINEA SERGIU-FLORIAN-voturi"
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ NR. 18",27,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 12:42:18",1380,1374,1,5,0,538,533,0,5,0,528,8,1500,962,68,32,25,169,84,0,3,4,82,2,2,2,47,2,1,5
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „OCTAVIAN GOGA”",61,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:44:55",1197,1177,10,8,2,546,535,1,8,2,533,13,1400,854,80,129,15,72,96,2,6,6,66,4,1,2,43,2,4,5
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „OCTAVIAN GOGA”",60,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:51:28",1148,1104,11,11,22,539,507,1,11,20,525,14,1300,761,92,118,11,81,91,0,4,4,65,2,3,1,49,0,0,4
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „SIMION BĂRNUȚIU”",81,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:46:26",1924,1919,2,3,0,749,745,1,3,0,732,17,2199,1450,139,12,25,190,130,5,16,13,144,4,4,0,34,1,9,6
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „SIMION BĂRNUȚIU”",82,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:07:27",1939,1927,4,8,0,881,873,0,8,0,871,10,2100,1219,192,47,19,194,172,8,8,9,159,3,3,6,34,3,6,8
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „VASILE ALECSANDRI”",75,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:10:56",1440,1425,8,7,0,544,537,0,7,0,532,12,1600,1056,103,39,28,114,102,6,8,16,70,6,2,4,25,0,3,6
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „VASILE ALECSANDRI”",74,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:01:55",1316,1302,0,13,1,499,485,0,13,1,482,17,1500,1001,80,15,17,105,99,1,15,6,101,4,2,4,18,7,4,4
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „VASILE ALECSANDRI”",73,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:04:18",1464,1452,4,8,0,518,510,0,8,0,507,11,1862,1072,88,6,21,92,118,7,9,19,95,3,1,2,24,3,9,10
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „VASILE ALECSANDRI”",76,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:01:44",1204,1197,0,7,0,423,416,0,7,0,409,14,1300,877,53,17,18,126,75,5,9,1,59,2,1,1,25,3,7,7
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „VASILE ALECSANDRI”",72,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:02:59",1394,1388,2,4,0,547,543,0,4,0,538,9,1500,953,82,27,27,112,124,5,9,9,101,5,2,1,18,3,4,9
